;date;distance_km;duree_sec;vitesse_moy_kmh;fc_moyenne;calories;activity;zone;metric;FC_repos;TRIMP
64;2025-07-02;3.88;4978.0;2.8;128.0;947.0;Swim;Z2;2.1410752688172043;44.0;92.21
65;2025-07-03;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;41.0;-0.0
66;2025-07-04;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
67;2025-07-05;21.34;6249.0;12.29;174.0;1612.0;Run;Z5;4:53;41.0;330.22
68;2025-07-06;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;45.0;-0.0
69;2025-07-07;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
70;2025-07-08;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;41.0;-0.0
71;2025-07-09;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
72;2025-07-10;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;39.0;-0.0
73;2025-07-11;12.0;3549.0;12.17;166.0;894.0;Run;Z4;4:56;45.0;156.81
75;2025-07-13;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;41.0;-0.0
77;2025-07-15;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;39.0;-0.0
78;2025-07-16;10.7;3141.0;12.26;166.0;798.0;Run;Z4;4:54;36.0;143.03
79;2025-07-17;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;37.0;-0.0
80;2025-07-18;1.4;1680.0;3.0;130.48;319.5;Swim;Z2;2.0;41.0;34.09
81;2025-07-19;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;39.0;-0.0
82;2025-07-20;20.9;2400.0;31.35;155.0;630.0;VirtualRide;Z4;186;42.0;84.67
83;2025-07-21;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;38.0;-0.0
84;2025-07-22;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;36.0;-0.0
85;2025-07-23;22.9;2400.0;34.35;160.0;597.18;VirtualRide;Z4;190;40.0;95.15
86;2025-07-24;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.6;-0.0
87;2025-07-25;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;41.2;-0.0
88;2025-07-26;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;41.8;-0.0
89;2025-07-27;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.4;-0.0
90;2025-07-28;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;43.0;-0.0
91;2025-07-29;10.01;2912.0;12.37;174.7;764.0;Run;Z5;4:51;40.0;156.42
92;2025-07-30;28.6;3360.0;30.64;149.5;836.06;VirtualRide;Z3;165;44.0;103.71
93;2025-07-31;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
94;2025-08-01;3.02;3796.0;2.87;134.2;728.0;Swim;Z3;2.0914600550964186;40.0;84.91
95;2025-08-02;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
96;2025-08-03;5.94;2514.0;8.51;157.0;542.0;Run;Z4;7:03;40.0;93.52
97;2025-08-04;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.0;-0.0
98;2025-08-05;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
99;2025-08-06;3.7;3699.0;3.6;168.9;896.0;Run;Z4;16:41;39.0;177.04
100;2025-08-07;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
101;2025-08-08;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;43.0;-0.0
102;2025-08-09;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;39.0;-0.0
103;2025-08-10;24.72;3866.0;23.01;127.4;527.0;Ride;Z2;23.0148;40.0;73.55
104;2025-08-11;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;39.0;-0.0
105;2025-08-12;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;39.0;-0.0
106;2025-08-13;7.97;2279.0;12.59;173.5;606.0;Run;Z5;4:46;40.0;119.48
107;2025-08-14;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
108;2025-08-15;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.0;-0.0
109;2025-08-16;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;39.0;-0.0
110;2025-08-17;18.24;5987.0;10.97;154.0;1365.0;Run;Z4;5:28;37.0;212.02
111;2025-08-18;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.0;-0.0
112;2025-08-19;10.24;3410.0;10.81;155.2;795.0;Run;Z4;5:33;39.0;122.66
113;2025-08-20;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
114;2025-08-21;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;38.0;-0.0
115;2025-08-22;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;44.0;-0.0
116;2025-08-23;27.9;3422.0;29.35;145.0;662.0;VirtualRide;Z3;146;41.0;97.31
117;2025-08-24;20.23;6687.0;10.89;157.1;1550.0;Run;Z4;5:31;44.0;244.52
118;2025-08-25;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.0;-0.0
119;2025-08-26;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;37.0;-0.0
120;2025-08-27;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
121;2025-08-28;30.0;3600.0;30.0;150.0;972.0;VirtualRide;Z3;156;41.0;114.44
122;2025-08-29;3.08;4026.0;2.75;121.7;738.0;Swim;Z2;2.1821138211382114;42.0;65.03
123;2025-08-30;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
124;2025-08-31;10.0;2663.0;13.52;169.1;712.0;Run;Z4;4:26;41.0;127.25
125;2025-09-01;30.3;3780.0;28.86;143.0;1021.0;VirtualRide;Z3;142;41.0;102.74
126;2025-09-02;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
127;2025-09-03;4.17;1392.0;10.78;150.0;324.0;Run;Z3;5:34;43.0;43.72
128;2025-09-04;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;45.0;-0.0
129;2025-09-05;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;42.0;-0.0
130;2025-09-06;43.37;19033.0;8.2;145.0;3562.0;Run;Z3;7:19;46.0;522.49
131;2025-09-07;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;45.0;-0.0
132;2025-09-08;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;37.0;-0.0
133;2025-09-09;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;43.0;-0.0
134;2025-09-10;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;43.0;-0.0
135;2025-09-11;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;46.0;-0.0
136;2025-09-12;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;45.0;-0.0
137;2025-09-13;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;40.0;-0.0
138;2025-09-14;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;43.0;-0.0
139;2025-09-15;0.0;2612.0;0.0;133.6;466.0;Crossfit;Z3;Non_applicable;46.0;54.5
140;2025-09-16;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;46.0;-0.0
141;2025-09-17;2.98;3812.0;2.81;132.0;709.0;Swim;Z2;2.1355742296918767;43.0;78.72
142;2025-09-18;40.2;4440.0;32.59;144.0;1104.79;VirtualRide;Z3;160;48.0;117.25
143;2025-09-19;0.0;2527.0;0.0;130.6;426.0;Crossfit;Z2;Non_applicable;43.0;50.43
144;2025-09-20;0.0;0.0;0.0;0.0;0.0;No_training;No_training;0;46.0;-0.0
145;2025-09-21;23.28;3080.0;27.21;141.8;593.0;Ride;Z3;27.2052;49.0;76.51
